permuted,0,PF00072,PF00009,316,1,121,10000000,10000,397282993,0,1.6708993186130983,5825.926387310028
permuted,0,PF00072,PF00009,317,2,121,10000000,10000,718153473,0,0.06000065966815276,5808.424055337906
permuted,0,PF00072,PF00009,318,0,121,10000000,10000,681488592,0,0.9606906537937047,5595.047729253769
permuted,1,PF00072,PF00009,316,1,121,10000000,10000,1444991345,0,0.558302303296558,5604.688512563705
permuted,1,PF00072,PF00009,317,2,121,10000000,10000,1799420097,1,-0.2153465901542456,8782.224033355713
permuted,1,PF00072,PF00009,318,0,121,10000000,10000,1762684688,0,0.21801356925952264,9768.730543613434
permuted,2,PF00072,PF00009,316,1,121,10000000,10000,1338161008,0,1.556534051298322,10257.631967306137
permuted,2,PF00072,PF00009,317,2,121,10000000,10000,1923260096,0,0.9413087037950656,9915.600550174713
permuted,2,PF00072,PF00009,318,0,121,10000000,10000,1894910225,0,0.919677723313399,10445.082920312881
permuted,3,PF00072,PF00009,316,1,121,10000000,10000,239888560,0,2.1585411837500503,8991.478672266006
permuted,3,PF00072,PF00009,317,2,121,10000000,10000,858538240,0,0.390555482891068,4785.911517858505
permuted,3,PF00072,PF00009,318,0,121,10000000,10000,830265041,0,1.3020696742801603,9934.18654680252
permuted,4,PF00072,PF00009,316,1,121,10000000,10000,662142259,0,1.1076932449557526,10630.534504652023
permuted,4,PF00072,PF00009,317,2,121,10000000,10000,437736579,0,0.5449941682277015,9715.980838060379
permuted,4,PF00072,PF00009,318,0,121,10000000,10000,407356242,0,0.82935353824369,10311.61692070961
permuted,5,PF00072,PF00009,316,1,121,10000000,10000,1727636211,0,1.3453866651549535,10416.624228715897
permuted,5,PF00072,PF00009,317,2,121,10000000,10000,1536789315,0,0.4976471398683024,10221.978705644608
permuted,5,PF00072,PF00009,318,0,121,10000000,10000,1506352274,0,0.5292402868724512,5626.539621353149
permuted,6,PF00072,PF00009,316,1,121,10000000,10000,2132526322,0,1.5359880926286813,10440.980991125107
permuted,6,PF00072,PF00009,317,2,121,10000000,10000,1115417922,0,0.4550259809401942,5909.88987493515
permuted,6,PF00072,PF00009,318,0,121,10000000,10000,1076591251,0,0.5994062243741786,9840.867903470993
permuted,7,PF00072,PF00009,316,1,121,10000000,10000,1049959218,0,1.9498816273349575,10323.744508504868
permuted,7,PF00072,PF00009,317,2,121,10000000,10000,66400898,0,1.0702166887561442,5874.7926988601685
permuted,7,PF00072,PF00009,318,0,121,10000000,10000,27632979,0,0.7906675692086709,5575.9566106796265
permuted,8,PF00072,PF00009,316,1,121,10000000,10000,762179572,0,1.4244638512694388,10602.218934297562
