lo,hi,n,mean_dz,sem_dz,frac_lo_up_better,p,q,upstream_gene,downstream_gene,effect,consistency,pred,resid,dz_A,dz_B
PF00271,PF00397,44,0.9203020595191534,0.10140602597434033,0.022727272727272728,7.275957614183426e-11,5.820766091346741e-10,PF00397,PF00271,0.9203020595191534,0.9772727272727273,0.6660874136685523,0.25421464585060116,0.9543469540495633,0.8862571649887439
PF00096,PF00271,34,-0.9170619232313009,0.14116440161657823,0.9705882352941176,1.6298145055770874e-09,1.0554989178975422e-08,PF00096,PF00271,0.9170619232313009,0.9705882352941176,-0.8490575865869675,-0.06800433664433336,-0.8747752473609229,-0.9593485991016789
PF00041,PF00096,34,0.6869797203043375,0.15268020465456025,0.17647058823529413,5.627400241792202e-05,0.00018666498363018036,PF00096,PF00041,0.6869797203043375,0.8235294117647058,0.569168067925073,0.1178116523792645,0.7487357568792798,0.6252236837293952
PF00018,PF00096,34,0.6860096334278353,0.1354344812622992,0.14705882352941177,5.767447873950005e-06,2.1788136412700016e-05,PF00096,PF00018,0.6860096334278353,0.8529411764705882,0.42290811912200044,0.26310151430583484,0.8682951696537,0.5037240972019703
PF00096,PF07679,34,-0.6681687861827986,0.1501828086986701,0.7941176470588235,5.13752456754446e-06,1.996295260531562e-05,PF00096,PF07679,0.6681687861827986,0.7941176470588235,-0.5094325528725792,-0.15873623331021947,-0.8157692673991127,-0.5205683049664845
PF00017,PF00271,138,-0.5834009586699231,0.034684028271500945,0.9130434782608695,1.407776988727896e-21,5.559585330336181e-20,PF00017,PF00271,0.5834009586699231,0.9130434782608695,-0.4515861387201565,-0.13181481994976663,-0.500431885067108,-0.6663700322727385
PF00096,PF02518,34,-0.5707119273605192,0.17577650716572146,0.8235294117647058,0.0003686567069962621,0.0009830845519900322,PF00096,PF02518,0.5707119273605192,0.8235294117647058,-0.4599428063100942,-0.11076912105042502,-0.5770798151384584,-0.5643440395825803
PF00018,PF00271,74,-0.54033980450568,0.06202832360507068,0.8378378378378378,9.285328510103374e-11,7.015581540966994e-10,PF00018,PF00271,0.54033980450568,0.8378378378378378,-0.42614946746496707,-0.11419033704071291,-0.5157661988879549,-0.564913410123405
PF00013,PF00271,104,-0.5280345805823234,0.037092555915896615,0.9423076923076923,7.603311821911613e-17,9.400458252545267e-16,PF00013,PF00271,0.5280345805823234,0.9423076923076923,-0.45725515574030806,-0.07077942484201538,-0.47537173444711583,-0.5806974267175309
PF00271,PF00595,130,0.5206380158207703,0.03262046935050012,0.06923076923076923,1.6351721559812295e-21,5.559585330336181e-20,PF00595,PF00271,0.5206380158207703,0.9307692307692308,0.46120046325898345,0.059437552561786844,0.44113982538393953,0.6001362062576012
PF00076,PF00271,106,-0.5012349133300465,0.0327733570723627,0.9528301886792453,6.952148793621762e-18,9.454922359325596e-17,PF00076,PF00271,0.5012349133300465,0.9528301886792453,-0.4218066838383495,-0.07942822949169703,-0.4014761253097452,-0.6009937013503479
